Mtl,AKA,Name,Editor,Date,https://app.innergy.com/#/projects/5966921f-4f24-4895-996f-83e3d55cd72d
,,Finishes,David Kane,6/10/2025,
Toe Kick,RB1," Rubber base by others, All",David Kane,6/10/2025,
Plam,PL1,"Cabs, Wilsonart 4965-58 Basket Weaving, 122, 157",David Kane,6/10/2025,
Plam,PL2,"Tops, Wilsonart D504-60 Fossil Shale, 4"" Splashes, 122, 157, also on island @157",David Kane,6/10/2025,
Plam,PL3,"Wall Mounted Shelving, TBD Please Spec, 133, 138, 142",David Kane,6/10/2025,
Plam,PL4,"Cabs, Wilsonart 8210-28 Portico Teak, 137",David Kane,6/10/2025,
Plam,PL5,"Vanities, TBD Please Spec, 139, 140, 160, 161",David Kane,6/10/2025,
Plam,PL6,"Tops, Wilsonart 4996-38 High Rise, 177",David Kane,6/10/2025,
Plam,PL7,"Cabs, Wilsonart 5022K-22 Polished Concrete, 177, 186",David Kane,6/10/2025,
Quartz,QZ1,"Tops, Wilsonart Q2001 Lyra, 2cm, 1.5"" Total Thickness, 137, 165, 186",David Kane,6/10/2025,
Quartz,QZ2,"Vanities, LG Hausys, Vaitera Pebble Gray, 2cm, 1.5"" Total Thickness, 139, 140,",David Kane,6/10/2025,
Quartz,QZ3,"Chamfered Trim, TBD Please Spec, 101 Waiting Logo Wall",David Kane,6/10/2025,
,,Hardware,David Kane,6/10/2025,
Pull,CP1,"Hafele 116.07.639 4"" Wire Pull, Satin Chrome, All",David Kane,6/10/2025,
Std&Bkt,SB1,"KV 85/185, Anachrome, 12"", 133, 138, 142",David Kane,6/10/2025,
Bracket,BK1,"Rakks EH1818, primed, paint by others, 157, 165",David Kane,6/10/2025,
,,Sinks & Appliances,David Kane,6/10/2025,
Sink,SK1,"S-2 Double Bowl Stainless Drop-In, ELKAY LRAD3322, 137",Keith Cullum,6/12/2025,
SInk,SK2,"L-1 Vanity, AMERICAN STD OVALYN 6842.0000, undermount, 139 1ea., 140 3ea., 160 3ea., 161 1ea. ",Keith Cullum,6/12/2025,
Sink,SK3,"S-1 Single Bowl Stainless Drop-in, ELKAY BLRQ15, 186 Breakroom 1ea.",Keith Cullum,6/12/2025,
Fridge,AP1,"Refrigerator, TBD Please Spec, 137 Breakroom, 2ea.",David Kane,6/10/2025,
Micro,AP2,"Microwave, TBD Please Spec, 137 Breakroom, 3ea",David Kane,6/10/2025,
Fridge,AP3,"Refrigerator, TBD Please Spec, 186 Breakroom, 1 ea. ",David Kane,6/10/2025,
